audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_16914.wav,more president gentleman every one knows that there are very different opinions both the member states groups on the question of whether or we should power,"Mr President, ladies and gentlemen, everyone knows that there are very different opinions both in the Member States and here in the political groups on the question of whether or not we should have nuclear power.","Mr President, gentlemen, everyone knows that there are very different opinions both the Member States groups on the question of whether or we should power.","[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 28, 29, 31, 32, 35]","['O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', '-', '-', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', '-', 'O']"
data/del_audio_8642.wav,rather investing in a greater number of cross border would effectively reduce dependence on one or more in the long term,"Rather, investing in a greater number of cross-border connections would more effectively reduce dependence on one or more third countries in the long term.","Rather, investing in a greater number of cross-border would effectively reduce dependence on one or more in the long term.","[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O']"
data/del_audio_11971.wav,as a price the demand for greater multilateralism our part imposes an added coast,"Security has a price, and the demand for greater multilateralism on our allies' part imposes an added cost.","has a price, the demand for greater multilateralism our part imposes an added cost.","[1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]","['-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_6310.wav,this is my last speech as have already said,"This is my last speech, as I have already said.","This is my last speech, as have already said.","[0, 1, 2, 3, 4, 5, 7, 8, 9]","['O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
data/del_audio_11778.wav,is why we must discuss the financing of investments in developing countries,That is why we must discuss the financing of investments in the developing countries.,is why we must discuss the financing of investments in developing countries.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]","['-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O']"
data/del_audio_18594.wav,is its from the us to europe at the end of the t essential that the u concludes a short term agreement with the as soon possible so that there're no risk of the exchange of information,"Since SWIFT is moving its database from the US to Europe at the end of the year, it is essential that the EU concludes a short-term agreement with the US as soon as possible so that there is no risk of the exchange of information being interrupted.",is its from the US to Europe at the end of the it essential that the EU concludes a short-term agreement with the as soon possible so that there no risk of the exchange of information,"[2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44]","['-', '-', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-']"
data/del_audio_7511.wav,by acting in this way unity and empathy at times of natural disasters,"By acting in this way, we show our unity and empathy at times of natural disasters.","By acting in this way, unity and empathy at times of natural disasters.","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15]","['O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_23370.wav,i must say i'm deeply disappointed that this this of human rights violation still continues,"I must say that I am deeply disappointed that, within this Unity Government, this sort of human rights violation still continues.","I must say am deeply disappointed that, this this of human rights violation still continues.","[0, 1, 2, 5, 6, 7, 8, 10, 13, 15, 16, 17, 18, 19, 20]","['O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_6980.wav,the other banks supervised by a college or in the case of purely national banks they are national,"The other banks would be supervised by a college or, in the case of purely national banks, by their national supervisor.","The other banks supervised by a college or, in the case of purely national banks, their national","[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]","['O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-']"
data/del_audio_19114.wav,actually this is a scandal because it is not that the amount of in the european union should decreasing,"Actually, this is something of a scandal, because it is not right that the amount of protein in the European Union should be decreasing.","Actually, this is a scandal, because it is not that the amount of in the European Union should decreasing.","[0, 1, 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23]","['O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O']"
data/del_audio_11317.wav,i think there is a need in adaptation policy should be to the character and type of changes which are taking place and should also offer the protection most risk,"I think there is a need for an adaptation policy which should be appropriate to the character and type of changes which are taking place, and should also include a strategy for the protection of areas which are most at risk.","I think there is a need an adaptation policy should be to the character and type of changes which are taking place, and should also a for the protection most risk.","[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 38, 40]","['O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', '-', '-', '-', '-', 'O', '-', 'O']"
data/del_audio_20695.wav,the period we therefore along with to consolidate the public finances of the eurorea also to restructure and greatly simplify the rules of internal,"In the forthcoming period, we must therefore, along with efforts to consolidate the public finances of the euro area, also strive to restructure and greatly simplify the rules of the internal environment.","the period, we therefore, along with to consolidate the public finances of the euro area, also to restructure and greatly simplify the rules of internal","[1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30]","['-', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-']"
data/del_audio_18816.wav,secondly i think point made by salata is valid that we need to quicker and more in and out of for the benefit of members,"Secondly, I think the point made by Mr Salatto is valid, that we do need to have quicker and more accessible routes in and out of Strasbourg for the benefit of Members and others.","Secondly, I think point made by Salatto is valid, that we need to quicker and more in and out of for the benefit of Members","[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 22, 23, 24, 25, 27, 28, 29, 30, 31]","['O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', '-']"
data/del_audio_4953.wav,there are a few regarding used agricultural budget that we do not agree with and danish liberal party continue to work to bring a gradual phasing out the aid,"There are a few statements regarding the EU's agricultural budget that we do not agree with, and the Danish Liberal Party will continue to work to bring about a gradual phasing out of the EU's agricultural aid.","There are a few regarding EU's agricultural budget that we do not agree with, and Danish Liberal Party continue to work to bring a gradual phasing out the aid.","[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 36]","['O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', '-', 'O']"
data/del_audio_15242.wav,means something our agricultural policies in our cohesion and here we expect some good and ambitious reforms from commission make sure agricultural policies cason policies deliver on,"That means something for our agricultural policies and for our cohesion policies, and here we expect some good and ambitious reforms from the Commission to make sure that agricultural policies and cohesion policies really deliver on poverty eradication, greenhouse gas reduction, innovation and unemployment.","means something our agricultural policies and our cohesion and here we expect some good and ambitious reforms from Commission make sure agricultural policies cohesion policies deliver on poverty eradication, greenhouse gas innovation and unemployment.","[1, 2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 28, 29, 31, 32, 34, 35, 36, 37, 38, 39, 41, 42, 43]","['-', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
